Model,Environment,Query,DecodeSpeed,Tokens,Time_ms
Qwen,Physical,Math,17.70,297,5056.10
Qwen,Physical,Poetry,22.65,190,3057.09
Qwen,Physical,Geo,18.01,178,4504.39
Qwen,Physical,Symbol,17.66,250,4452.00
Qwen,Physical,Science,21.44,356,3080.13
Hunyuan,Physical,Math,21.41,122,6848.68
Hunyuan,Physical,Poetry,25.12,310,4525.92
Hunyuan,Physical,Geo,19.80,204,6619.79
Hunyuan,Physical,Symbol,23.91,512,4214.00
Hunyuan,Physical,Science,23.68,512,4280.86
Qwen,Simulated,Math,21.51,146,3813.58
Qwen,Simulated,Poetry,21.09,211,3879.17
Qwen,Simulated,Geo,21.29,138,3800.69
Qwen,Simulated,Symbol,21.05,251,3806.75
Qwen,Simulated,Science,20.74,311,3924.79
Hunyuan,Simulated,Math,29.09,88,4249.26
Hunyuan,Simulated,Poetry,23.81,252,5326.79
Hunyuan,Simulated,Geo,28.55,185,4241.08
Hunyuan,Simulated,Symbol,22.22,512,5676.93
Hunyuan,Simulated,Science,22.44,512,5381.48