model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,dynamic_option
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 0}",pp,512,53.81,0.06,0.11150343802267236,0
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 1}",pp,512,53.83,0.03,0.05573100501579045,1
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 2}",pp,512,52.99,0.06,0.11322891111530475,2
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 3}",pp,512,54.17,0.06,0.11076241462063872,3
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 4}",pp,512,54.2,0.02,0.03690036900369004,4
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 5}",pp,512,54.14,0.05,0.09235315847801995,5
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 6}",pp,512,54.17,0.07,0.12922281705741184,6
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 7}",pp,512,54.21,0.07,0.12912746725696367,7
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 8}",pp,512,54.21,0.05,0.09223390518354548,8
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 0}",tg,128,24.88,0.02,0.08038585209003217,0
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 1}",tg,128,24.99,0.0,0.0,1
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 2}",tg,128,23.82,0.02,0.08396305625524769,2
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 3}",tg,128,25.05,0.01,0.03992015968063872,3
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 4}",tg,128,25.01,0.01,0.03998400639744103,4
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 5}",tg,128,24.95,0.0,0.0,5
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 6}",tg,128,25.03,0.0,0.0,6
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 7}",tg,128,24.99,0.0,0.0,7
hunyuan_05b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 8}",tg,128,24.98,0.01,0.0400320256204964,8
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 0}",pp,512,49.56,0.03,0.06053268765133171,0
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 1}",pp,512,49.6,0.02,0.04032258064516129,1
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 2}",pp,512,48.46,0.05,0.10317787866281469,2
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 3}",pp,512,49.61,0.05,0.10078613182826043,3
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 4}",pp,512,49.64,0.07,0.14101531023368252,4
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 5}",pp,512,49.65,0.03,0.060422960725075525,5
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 6}",pp,512,49.7,0.01,0.02012072434607646,6
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 7}",pp,512,49.63,0.06,0.12089462018940156,7
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 8}",pp,512,49.6,0.04,0.08064516129032258,8
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 0}",tg,128,22.05,0.01,0.045351473922902494,0
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 1}",tg,128,21.92,0.02,0.09124087591240876,1
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 2}",tg,128,21.01,0.11,0.5235602094240838,2
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 3}",tg,128,22.24,0.01,0.04496402877697842,3
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 4}",tg,128,22.18,0.01,0.04508566275924256,4
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 5}",tg,128,22.25,0.01,0.0449438202247191,5
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 6}",tg,128,22.12,0.01,0.045207956600361664,6
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 7}",tg,128,22.26,0.01,0.044923629829290206,7
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 8}",tg,128,22.24,0.0,0.0,8
